No.,Time,Source,Destination,Protocol,Length,Info,Class
135,13.5,224.151.179.205,222.77.73.250,AF,2780,Horizontal,Normal
136,13.6,4.194.180.82,177.134.139.27,NA,2800,global,Normal
137,13.7,163.16.98.7,108.67.54.159,NA,2820,utilisation,Normal
138,13.8,87.170.152.147,175.107.155.166,AF,2840,Business-focused,Normal
139,13.9,49.43.31.31,133.27.69.1,OC,2860,contingency,Normal
140,14,30.18.138.155,22.231.201.242,NA,2880,content-based,Normal
141,14.1,204.25.27.124,59.149.110.167,EU,2900,stable,Normal
142,14.2,32.9.41.254,83.30.152.69,AS,2920,optimizing,Normal
143,14.3,64.254.189.108,2.199.218.48,AS,2940,workforce,Normal
144,14.4,151.250.79.169,87.113.33.196,EU,2960,solution-oriented,Normal
145,14.5,90.75.199.216,62.138.191.222,OC,2980,demand-driven,Normal
146,14.6,27.43.53.176,146.202.95.89,OC,3000,dynamic,Normal
147,14.7,139.17.10.14,175.116.171.41,NA,3020,content-based,Normal
148,14.8,236.142.162.162,117.35.27.83,EU,3040,help-desk,Normal
149,14.9,179.101.109.149,209.11.125.181,AF,3060,extranet,Normal
150,15,100.154.62.6,105.36.69.136,NA,3080,Versatile,Normal
151,15.1,220.71.60.232,72.30.156.46,NA,3100,paradigm,Normal
152,15.2,35.61.156.82,55.95.226.186,SA,3120,fault-tolerant,Normal
153,15.3,0.125.192.186,241.211.89.160,AF,3140,portal,Normal
154,15.4,202.60.14.154,56.2.158.255,NA,3160,capacity,Normal
155,15.5,157.201.18.134,132.177.249.243,NA,3180,strategy,Normal
156,15.6,212.168.191.44,119.9.208.213,OC,3200,exuding,Normal
157,15.7,61.125.221.141,156.173.227.94,NA,3220,service-desk,Normal
158,15.8,222.166.183.59,125.53.118.92,OC,3240,Digitized,Normal
159,15.9,87.89.87.1,24.228.233.126,SA,3260,application,Normal
160,16,127.18.95.226,198.43.69.99,AF,3280,parallelism,Normal
161,16.1,64.226.118.78,61.28.44.47,NA,3300,Ameliorated,Normal
162,16.2,198.189.22.193,113.110.11.165,AF,3320,Devolved,Normal
163,16.3,23.217.203.255,72.86.225.200,SA,3340,client-driven,Normal
164,16.4,28.241.85.115,225.43.181.42,EU,3360,Profit-focused,Normal
165,16.5,79.160.52.187,233.5.228.10,NA,3380,disintermediate,Normal
166,16.6,230.246.144.77,35.145.109.189,EU,3400,Persistent,Normal
167,16.7,42.92.75.146,216.122.115.71,NA,3420,Organic,Normal
168,16.8,101.65.201.73,209.70.98.106,NA,3440,Vision-oriented,Normal
169,16.9,92.25.166.234,40.229.136.162,AF,3460,encryption,Normal
170,17,6.67.82.27,68.190.154.113,NA,3480,directional,Normal
171,17.1,225.225.245.41,162.158.19.63,AS,3500,cohesive,Normal
172,17.2,71.44.224.209,224.85.196.9,AS,3520,explicit,Normal
173,17.3,185.191.241.93,93.133.132.212,SA,3540,Multi-layered,Normal
174,17.4,85.170.153.177,61.50.249.42,AF,3560,Inverse,Normal
175,17.5,239.175.72.163,192.223.186.63,SA,3580,workforce,Normal
176,17.6,235.47.10.24,249.46.241.146,NA,3600,Upgradable,Normal
177,17.7,221.181.75.70,167.170.85.74,NA,3620,Business-focused,Normal
178,17.8,58.68.129.194,24.176.23.133,OC,3640,Grass-roots,Normal
179,17.9,82.53.23.99,81.229.202.245,AS,3660,throughput,Normal
180,18,85.182.83.13,79.169.234.127,AS,3680,Automated,Normal
181,18.1,67.246.18.13,65.144.208.18,OC,3700,Reverse-engineered,Normal
182,18.2,190.204.119.183,200.36.79.67,NA,3720,Intuitive,Normal
183,18.3,104.5.44.130,177.61.126.82,SA,3740,modular,Normal
184,18.4,140.66.126.21,72.129.42.149,AS,3760,radical,Normal
185,18.5,223.215.87.185,1.116.14.24,AS,3780,tangible,Normal
186,18.6,190.202.62.21,184.47.69.152,NA,3800,contingency,Normal
187,18.7,212.93.74.166,29.138.176.121,EU,3820,implementation,Normal
188,18.8,195.247.107.123,59.111.36.39,AF,3840,core,Normal
189,18.9,54.46.141.243,242.9.18.116,NA,3860,Reduced,Normal
190,19,106.158.100.228,150.154.190.29,EU,3880,Down-sized,Normal
191,19.1,230.62.13.219,13.253.177.176,SA,3900,secondary,Normal
192,19.2,232.194.203.40,169.18.72.143,EU,3920,bandwidth-monitored,Normal
193,19.3,124.34.113.162,117.153.114.160,AS,3940,intermediate,Normal
194,19.4,84.110.33.58,11.57.104.25,AF,3960,next generation,Normal
195,19.5,10.55.180.244,254.8.109.191,AS,3980,zero tolerance,Normal
196,19.6,53.249.3.218,119.18.111.122,EU,4000,alliance,Normal
197,19.7,251.224.236.174,183.34.201.105,EU,4020,definition,Normal
198,19.8,48.177.80.157,35.185.178.49,OC,4040,Digitized,Normal
199,19.9,180.30.151.102,50.78.4.48,NA,4060,Visionary,Normal
200,20,102.158.44.163,126.168.232.176,SA,4080,throughput,Normal
201,20.1,159.45.75.28,69.49.148.104,EU,4100,matrices,Normal
202,20.2,118.99.90.155,115.249.152.133,NA,4120,bi-directional,Normal
203,20.3,22.176.74.95,178.23.67.134,SA,4140,array,Normal
204,20.4,186.1.111.71,103.60.224.46,AS,4160,Progressive,Normal
205,20.5,134.22.18.60,232.56.118.90,NA,4180,radical,Normal
206,20.6,239.142.226.227,201.34.106.71,AS,4200,function,Normal
207,20.7,205.186.162.34,173.203.204.118,AS,4220,synergy,Normal
208,20.8,243.134.153.144,58.227.101.200,EU,4240,Profound,Normal
209,20.9,81.196.175.167,20.113.197.190,AS,4260,initiative,Normal
210,21,130.152.90.103,251.203.53.115,OC,4280,Versatile,Normal
211,21.1,84.254.143.240,132.101.50.97,OC,4300,Monitored,Normal
212,21.2,46.206.92.200,6.72.255.184,AS,4320,Re-engineered,Normal
213,21.3,68.66.20.112,13.37.173.235,OC,4340,exuding,Normal
214,21.4,128.48.169.159,6.103.226.100,NA,4360,Open-source,Normal
215,21.5,242.112.200.116,19.191.63.220,EU,4380,intangible,Normal
216,21.6,177.202.167.151,3.133.109.64,AF,4400,exuding,Normal
217,21.7,176.158.243.108,218.108.190.41,SA,4420,Seamless,Normal
218,21.8,12.195.142.170,15.2.36.60,OC,4440,6th generation,Normal
219,21.9,215.159.20.194,158.192.73.49,NA,4460,benchmark,Normal
220,22,4.54.10.130,123.233.101.69,NA,4480,human-resource,Normal
221,22.1,225.145.28.50,20.4.221.100,AS,4500,impactful,Normal
222,22.2,173.143.118.160,42.199.163.25,SA,4520,methodical,Normal
223,22.3,104.28.131.145,255.195.46.228,EU,4540,attitude,Normal
224,22.4,129.110.164.94,144.186.23.247,AF,4560,optimal,Normal
225,22.5,147.137.102.168,159.210.122.177,OC,4580,zero administration,Normal
226,22.6,91.252.199.239,105.168.239.19,AS,4600,Re-engineered,Normal
227,22.7,1.211.94.89,204.246.160.194,AF,4620,Customizable,Normal
228,22.8,176.40.153.15,91.39.175.167,SA,4640,Progressive,Normal
229,22.9,7.123.124.69,97.190.96.47,NA,4660,Face to face,Normal
230,23,232.210.203.245,139.23.139.134,OC,4680,dynamic,Normal
231,23.1,122.252.90.255,50.243.25.127,AS,4700,definition,Normal
232,23.2,138.248.134.151,160.48.203.140,AS,4720,Future-proofed,Normal
233,23.3,123.46.212.41,17.13.197.253,AS,4740,fresh-thinking,Normal
234,23.4,170.157.208.109,181.37.46.125,EU,4760,open architecture,Normal
235,23.5,194.39.187.190,125.63.21.89,AS,4780,Switchable,Normal
236,23.6,45.9.131.159,208.184.208.142,AS,4800,methodical,Normal
237,23.7,94.165.72.209,73.177.88.39,AF,4820,composite,Normal
238,23.8,139.207.244.91,28.205.190.180,OC,4840,logistical,Normal
239,23.9,120.16.136.95,9.141.41.13,SA,4860,Robust,Normal
240,24,144.97.17.224,226.236.255.42,NA,4880,didactic,Normal
241,24.1,20.187.243.151,40.112.128.67,NA,4900,composite,Normal
242,24.2,194.237.254.36,0.142.73.205,SA,4920,projection,Normal
243,24.3,222.234.139.83,87.194.145.80,AS,4940,approach,Normal
244,24.4,222.163.47.30,166.20.76.211,NA,4960,Reduced,Normal
245,24.5,70.255.59.77,46.172.1.207,NA,4980,core,Normal
246,24.6,249.194.68.191,71.168.81.140,AF,5000,Optional,Normal
247,24.7,37.32.30.11,81.118.252.188,AF,5020,Multi-channelled,Normal
248,24.8,209.163.9.186,57.12.206.234,OC,5040,Public-key,Normal
249,24.9,225.118.51.141,192.154.237.191,NA,5060,Progressive,Normal
250,25,250.98.193.246,7.237.166.4,NA,5080,Managed,Normal
251,25.1,192.58.228.131,15.112.128.213,SA,5100,national,Normal
252,25.2,135.2.8.189,46.114.121.4,AS,5120,Organized,Normal
253,25.3,145.178.161.44,26.179.139.133,NA,5140,project,Normal
254,25.4,185.222.249.145,133.87.46.67,OC,5160,Extended,Normal
255,25.5,136.153.187.134,42.84.62.130,AS,5180,well-modulated,Normal
256,25.6,21.153.96.106,5.240.193.51,NA,5200,intranet,Normal
257,25.7,162.107.222.242,226.213.60.243,OC,5220,toolset,Normal
258,25.8,132.163.165.200,168.113.77.243,OC,5240,Operative,Normal
259,25.9,244.210.173.7,20.7.47.174,NA,5260,projection,Normal
260,26,149.32.15.49,45.63.232.167,SA,5280,Assimilated,Normal
261,26.1,55.17.4.86,42.140.233.213,NA,5300,disintermediate,Normal
262,26.2,19.222.165.53,172.250.108.56,NA,5320,asynchronous,Normal
263,26.3,151.56.155.87,49.202.24.28,NA,5340,Operative,Normal
264,26.4,211.77.154.142,166.121.233.192,NA,5360,zero tolerance,Normal
265,26.5,167.27.171.80,91.157.220.123,OC,5380,impactful,Normal
266,26.6,9.86.50.78,182.254.207.190,NA,5400,Re-engineered,Normal
267,26.7,195.10.73.208,137.245.10.91,NA,5420,system-worthy,Normal
268,26.8,197.183.117.92,198.41.84.112,AF,5440,migration,Normal
269,26.9,223.224.25.254,1.17.175.95,OC,5460,bifurcated,Normal
270,27,124.160.110.99,81.108.193.157,NA,5480,Pre-emptive,Normal
271,27.1,47.36.115.47,233.116.81.165,AS,5500,projection,Normal
272,27.2,213.253.246.235,147.121.242.78,AS,5520,transitional,Normal
273,27.3,247.205.40.157,212.220.201.69,NA,5540,database,Normal
274,27.4,23.70.189.154,60.48.80.107,OC,5560,Polarised,Normal
275,27.5,122.110.232.8,19.219.103.155,NA,5580,orchestration,Normal
276,27.6,195.225.163.29,30.46.136.23,SA,5600,multi-state,Normal
277,27.7,120.203.135.75,119.186.58.235,AS,5620,superstructure,Normal
278,27.8,186.191.191.66,65.131.234.153,AF,5640,policy,Normal
279,27.9,176.98.100.100,31.19.151.32,OC,5660,Organic,Normal
280,28,90.219.19.12,76.214.63.156,AF,5680,open architecture,Normal
281,28.1,125.22.83.115,76.70.137.215,AS,5700,eco-centric,Normal
282,28.2,184.75.121.211,120.101.12.134,AF,5720,Mandatory,Normal
283,28.3,23.202.137.95,86.157.25.157,OC,5740,open architecture,Normal
284,28.4,199.168.75.248,209.64.10.187,NA,5760,next generation,Normal
285,28.5,104.37.45.5,28.246.246.11,SA,5780,Virtual,Normal
286,28.6,63.172.61.62,177.104.19.92,AS,5800,Extended,Normal
287,28.7,188.103.159.82,141.168.99.171,NA,5820,circuit,Normal
288,28.8,177.17.108.40,164.220.107.202,NA,5840,challenge,Normal
289,28.9,31.150.21.96,180.123.72.252,NA,5860,Secured,Normal
290,29,146.53.25.29,138.42.239.240,AS,5880,5th generation,Normal
291,29.1,43.248.105.87,125.89.80.151,OC,5900,secured line,Normal
292,29.2,209.194.68.82,65.208.1.205,AF,5920,discrete,Normal
293,29.3,176.160.113.238,66.218.182.6,SA,5940,Synergized,Normal
294,29.4,252.34.170.68,139.44.228.157,NA,5960,ability,Normal
295,29.5,172.175.80.82,92.211.178.145,NA,5980,Exclusive,Normal
296,29.6,242.67.217.93,83.244.229.187,NA,6000,full-range,Normal
297,29.7,67.179.61.112,89.155.166.108,NA,6020,conglomeration,Normal
298,29.8,153.107.140.130,52.243.215.12,NA,6040,content-based,Normal
299,29.9,17.127.124.127,215.123.170.2,AS,6060,data-warehouse,Normal
300,30,182.164.230.223,58.222.177.33,SA,6080,Right-sized,Normal
301,30.1,67.31.154.62,24.166.224.151,AF,6100,workforce,Normal
302,30.2,156.15.113.235,206.107.95.33,SA,6120,neutral,Normal
303,30.3,184.24.92.22,76.240.230.25,NA,6140,homogeneous,Normal
304,30.4,121.31.201.147,75.56.120.93,SA,6160,client-driven,Normal
305,30.5,178.8.49.3,59.129.250.22,AF,6180,array,Normal
306,30.6,250.43.70.81,191.13.178.49,AF,6200,zero tolerance,Normal
307,30.7,132.27.216.123,249.20.144.244,NA,6220,De-engineered,Normal
308,30.8,163.241.177.45,73.27.73.178,NA,6240,Mandatory,Normal
309,30.9,203.244.111.192,143.117.148.109,NA,6260,Reactive,Normal
310,31,16.231.211.142,242.111.246.100,AF,6280,hub,Normal
311,31.1,9.192.142.112,81.35.151.188,SA,6300,knowledge user,Normal
312,31.2,163.56.60.111,246.175.164.154,SA,6320,matrices,Normal
313,31.3,48.212.52.234,73.57.17.112,EU,6340,parallelism,Normal
314,31.4,195.200.36.244,170.241.9.30,AS,6360,zero administration,Normal
315,31.5,228.34.7.153,34.33.13.145,EU,6380,Intuitive,Normal
316,31.6,221.105.116.203,182.184.233.199,AF,6400,global,Normal
317,31.7,82.222.90.141,81.111.201.131,SA,6420,Expanded,Normal
318,31.8,227.244.217.166,109.30.107.162,OC,6440,extranet,Normal
319,31.9,160.160.216.160,176.42.125.32,NA,6460,Polarised,Normal
320,32,192.22.214.14,86.36.199.26,AF,6480,Digitized,Normal
321,32.1,234.126.61.206,13.177.35.71,OC,6500,Multi-layered,Normal
322,32.2,101.136.191.191,100.34.36.136,AS,6520,high-level,Normal
323,32.3,53.70.73.55,169.132.150.108,EU,6540,Profound,Normal
324,32.4,222.17.133.237,198.48.242.116,SA,6560,logistical,Normal
325,32.5,32.93.53.168,225.197.17.113,OC,6580,concept,Normal
326,32.6,26.34.151.237,153.5.78.174,EU,6600,disintermediate,Normal
327,32.7,122.34.2.113,78.139.23.135,EU,6620,database,Normal
328,32.8,137.93.97.251,6.191.147.244,NA,6640,mobile,Normal
329,32.9,114.53.239.219,26.162.98.70,AF,6660,Adaptive,Normal
330,33,196.156.66.137,167.110.82.57,AS,6680,modular,Normal
331,33.1,37.10.231.50,151.114.26.119,NA,6700,Decentralized,Normal
332,33.2,243.41.37.100,1.16.204.144,OC,6720,grid-enabled,Normal
333,33.3,87.201.23.231,95.205.167.11,NA,6740,alliance,Normal
334,33.4,37.92.221.250,237.58.156.235,OC,6760,client-driven,Normal
335,33.5,112.88.80.209,193.60.66.85,EU,6780,core,Normal
336,33.6,78.65.140.225,179.248.91.213,NA,6800,project,Normal
337,33.7,248.116.90.180,248.149.67.90,NA,6820,Integrated,Normal
338,33.8,149.243.108.127,10.122.198.85,OC,6840,next generation,Normal
339,33.9,222.110.216.148,18.212.65.208,AF,6860,policy,Normal
340,34,27.161.175.213,36.88.53.137,NA,6880,initiative,Normal
341,34.1,190.20.79.135,22.216.216.240,AF,6900,responsive,Normal
342,34.2,83.79.67.230,40.135.153.9,AS,6920,Focused,Normal
343,34.3,142.38.114.148,132.5.132.44,EU,6940,foreground,Normal
344,34.4,52.27.75.254,17.249.107.160,SA,6960,flexibility,Normal
345,34.5,98.234.124.252,62.173.64.112,NA,6980,Optional,Normal
346,34.6,225.1.67.232,145.20.107.101,AF,7000,Proactive,Normal
347,34.7,58.175.217.162,39.223.171.226,SA,7020,system engine,Normal
348,34.8,35.141.59.62,52.147.57.23,EU,7040,Seamless,Normal
349,34.9,145.238.192.148,227.15.61.127,AS,7060,Multi-layered,Normal
350,35,220.197.104.153,89.35.86.161,EU,7080,process improvement,Normal
351,35.1,13.253.160.144,42.154.226.143,OC,7100,De-engineered,Normal
352,35.2,83.57.68.169,26.37.192.86,AS,7120,Centralized,Normal
353,35.3,240.23.77.140,41.163.13.92,AF,7140,zero administration,Normal
354,35.4,165.80.24.145,93.12.44.140,OC,7160,grid-enabled,Normal
355,35.5,171.193.134.27,203.106.203.41,EU,7180,Quality-focused,Normal
356,35.6,231.152.75.189,197.223.45.129,AS,7200,Polarised,Normal
357,35.7,165.47.241.152,95.217.131.134,EU,7220,Centralized,Normal
358,35.8,5.121.32.10,122.150.175.190,NA,7240,solution-oriented,Normal
359,35.9,246.153.57.68,156.161.54.124,AF,7260,Implemented,Normal
360,36,31.197.209.58,32.190.124.84,EU,7280,bottom-line,Normal
361,36.1,197.213.68.66,189.173.214.142,NA,7300,multi-state,Normal
362,36.2,74.57.149.139,37.42.222.7,EU,7320,software,Normal
363,36.3,79.72.243.180,186.194.56.156,EU,7340,portal,Normal
364,36.4,147.147.111.176,255.189.155.214,AS,7360,matrix,Normal
365,36.5,91.231.93.171,9.67.188.47,EU,7380,incremental,Normal
366,36.6,164.121.32.114,23.238.170.171,EU,7400,optimal,Normal
367,36.7,42.239.187.105,253.167.7.209,EU,7420,Cross-group,Normal
368,36.8,145.115.173.106,119.71.117.99,NA,7440,Realigned,Normal
369,36.9,246.155.246.53,185.163.5.175,SA,7460,matrix,Normal
370,37,155.166.128.107,184.187.30.71,OC,7480,intangible,Normal
371,37.1,200.101.158.130,154.87.67.136,AF,7500,static,Normal
372,37.2,74.15.109.3,77.60.58.18,NA,7520,challenge,Normal
373,37.3,111.197.133.79,54.74.182.251,NA,7540,local area network,Normal
374,37.4,209.37.124.173,5.245.98.117,NA,7560,real-time,Normal
375,37.5,102.69.252.210,84.159.73.236,NA,7580,Reactive,Normal
376,37.6,237.24.70.84,47.37.64.172,NA,7600,Focused,Normal
377,37.7,235.206.227.93,228.8.187.73,NA,7620,maximized,Normal
378,37.8,119.134.250.165,226.23.194.201,NA,7640,systematic,Normal
379,37.9,225.146.228.224,111.237.175.211,AS,7660,contextually-based,Normal
380,38,205.95.89.148,158.111.159.215,EU,7680,structure,Normal
381,38.1,48.71.12.119,111.153.55.234,AS,7700,local,Normal
382,38.2,145.151.123.61,8.56.97.211,NA,7720,emulation,Normal
383,38.3,108.157.6.153,253.208.233.60,AS,7740,Visionary,Normal
